backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,7.44302341574803,10.19878355662028,10.946632385253906,1103.8916666666669,1358.8,0.0,0.0,0.0,0.0,0.6202519513123358,0.9122193654378256
finufft,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,21.57393038598821,10.941181945800782,12.27484130859375,1093.6357142857146,1453.4,0.0,0.0,0.0,0.0,1.797827532165684,1.0229034423828125
finufft,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,forward,0,24.802105858922005,56.15295896530152,61.217681884765625,969.415,1601.1,0.0,0.0,0.0,0.0,2.066842154910167,5.101473490397136
finufft,0.001,2.0,12,"(256, 256, 176)",136301568,3,False,adjoint,0,26.545535822864625,52.452545956867496,61.217681884765625,1158.0158536585366,1601.4,0.0,0.0,0.0,0.0,2.212127985238719,5.101473490397136
finufft,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,grad,0,5.4838803531602025,21.08216836717393,24.1065673828125,899.2388888888889,1603.1,0.0,0.0,0.0,0.0,5.4838803531602025,24.1065673828125
finufft,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,19.634569781366736,19.86046946048737,20.997413635253903,1148.3093749999998,1348.2,0.0,0.0,0.0,0.0,0.6135803056677105,0.6561691761016845
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,forward,0,1.0906666172668338,3.423032760620117,4.673183441162109,93.2,186.4,0.0,0.0,0.0,0.0,1.0906666172668338,4.673183441162109
finufft,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,adjoint,0,2.8014842281118035,19.972752465142143,23.253116607666016,886.7111111111112,1601.7,0.0,0.0,0.0,0.0,2.8014842281118035,23.253116607666016
finufft,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,forward,0,2.322741480078548,19.92443084716797,23.253116607666016,769.675,1479.1,0.0,0.0,0.0,0.0,2.322741480078548,23.253116607666016
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,1,2.592295854818076,4.168361000392748,5.633316040039063,529.8347826086956,1544.7,0.0,0.0,0.0,0.0,2.592295854818076,5.633316040039063
finufft,0.001,2.0,1,"(256, 256, 176)",6808935,3,False,grad,0,2.588241297286004,4.0132634904649525,5.543537139892578,475.3722222222223,1544.7,0.0,0.0,0.0,0.0,2.588241297286004,5.543537139892578
